hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
HD 158259,G0,5801.89,0.212,1.21,G,3.7635694906083423
HD 6718,G5 V,5801.0,0.053,0.95,G,3.763502865467597
TOI-1451,,5801.0,0.024,1.02,,3.763502865467597
WASP-126,G2,5800.0,0.159,1.27,G,3.7634279935629373
Kepler-427,G2 V,5800.0,0.29,1.35,G,3.7634279935629373
TOI-4633,G V,5800.0,0.311,1.05,G,3.7634279935629373
WASP-21,G3 V,5800.0,0.304,1.06,G,3.7634279935629373
Kepler-238,,5800.0,0.43,0.96,,3.7634279935629373
WASP-37,,5800.0,-0.021,1.0,,3.7634279935629373
WASP-126,G2,5800.0,0.132,1.27,G,3.7634279935629373
WASP-58,G2 V,5800.0,0.16,1.22,G,3.7634279935629373
HD 137496,G,5799.0,0.366,1.59,G,3.7633531087482153
HD 133131 A,G2 V,5799.0,-0.017,0.96,G,3.7633531087482153
Kepler-1126,,5798.0,-0.099,0.93,,3.763278211018979
Kepler-310,,5797.0,-0.239,0.88,,3.7632033003707717
HD 107148,G5 V,5797.0,0.121,1.17,G,3.7632033003707717
Kepler-1060,,5797.0,0.072,0.99,,3.7632033003707717
Kepler-1636,,5797.0,0.237,1.02,,3.7632033003707717
HD 199509,G3V,5796.02,-0.084,0.92,G,3.763129875397248
Kepler-315,,5796.0,0.004,1.04,,3.763128376799137
Kepler-1479,,5796.0,0.145,0.98,,3.763128376799137
Kepler-1419,,5796.0,0.042,1.01,,3.763128376799137
HR 5183,G0 V,5794.0,0.397,1.53,G,3.762978490867743
K2-357,,5794.0,-0.066,1.0,,3.762978490867743
Kepler-1098,,5794.0,0.157,0.99,,3.762978490867743
K2-213,,5794.0,0.247,1.2,,3.762978490867743
Kepler-501,,5794.0,0.216,1.22,,3.762978490867743
Kepler-1468,,5794.0,0.531,1.5,,3.762978490867743
Kepler-1427,,5793.0,0.016,1.01,,3.762903528499057
HD 9446,G5 V,5793.0,0.041,1.0,G,3.762903528499057
K2-245,,5793.0,0.172,1.25,,3.762903528499057
HD 105779,G2,5792.0,-0.108,0.94,G,3.7628285531890904
Kepler-1073,,5792.0,-0.01,1.0,,3.7628285531890904
Kepler-879,G,5792.0,0.033,1.02,G,3.7628285531890904
Kepler-1141,,5791.0,0.155,1.07,,3.762753564933374
Kepler-1264,,5791.0,-0.055,0.98,,3.762753564933374
K2-164,,5791.0,0.59,2.2,,3.762753564933374
Kepler-1866,,5791.0,0.144,1.08,,3.762753564933374
K2-352,,5791.0,-0.063,0.95,,3.762753564933374
K2-355,,5790.0,-0.115,0.92,,3.762678563727436
HD 164595,G2 V,5790.0,0.017,1.02,G,3.762678563727436
HD 210193,G3 V,5790.0,0.056,1.06,G,3.762678563727436
HD 222582,G5 V,5790.0,0.115,1.13,G,3.762678563727436
Kepler-142,,5790.0,0.107,1.27,,3.762678563727436
HD 187123,G3 V,5790.0,0.127,1.15,G,3.762678563727436
K2-374,G3,5789.0,-0.059,0.91,G,3.7626035495668035
K2-350,,5789.0,-0.012,1.04,,3.7626035495668035
Kepler-625,,5789.0,0.406,0.96,,3.7626035495668035
Kepler-1637,,5789.0,0.023,1.02,,3.7626035495668035
Kepler-184,,5788.0,-0.225,0.87,,3.762528522447
K2-185,,5788.0,-0.09,0.94,,3.762528522447
TIC 237913194,G3,5788.0,0.078,1.09,G,3.762528522447
Kepler-1905,,5788.0,-0.025,1.02,,3.762528522447
Kepler-362,,5788.0,0.209,0.72,,3.762528522447
Kepler-373,,5787.0,0.212,0.85,,3.762453482363547
Kepler-219,,5786.0,0.214,1.49,,3.762378429311964
Kepler-1929,,5786.0,0.593,1.47,,3.762378429311964
HD 88072,,5785.33,0.031,1.03,,3.7623281365101513
TOI-1776,,5785.0,-0.053,0.94,,3.7623033632877685
Kepler-474,,5785.0,0.417,1.08,,3.7623033632877685
Kepler-713,,5785.0,0.085,0.99,,3.7623033632877685
K2-406,G4,5784.0,-0.06,0.96,G,3.7622282842864743
HD 183579,G2 V,5784.0,-0.034,0.96,G,3.7622282842864743
K2-186,,5784.0,0.05,0.98,,3.7622282842864743
HD 109271,G5 V,5783.0,0.301,1.29,G,3.7621531923035945
HD 74698,G5 V,5783.0,0.253,1.33,G,3.7621531923035945
EPIC 212424622,,5782.33,0.179,1.22,,3.7621028734102815
HD 20782,G1.5 V,5782.13,0.107,1.13,G,3.7620878517151244
Kepler-1005,,5782.0,0.136,1.06,,3.762078087334639
K2-389,G3,5782.0,0.106,1.08,G,3.762078087334639
Kepler-1451,,5782.0,-0.119,0.99,,3.762078087334639
Kepler-17,G2 V,5781.0,0.012,1.01,G,3.7620029693751156
Kepler-1509,,5780.0,0.399,0.99,,3.761927838420529
HATS-23,G V,5780.0,0.155,1.2,G,3.761927838420529
Kepler-1328,,5780.0,0.228,0.99,,3.761927838420529
NGC 2682 YBP 1194,G5 V,5780.0,-0.011,0.99,G,3.761927838420529
Kepler-97,,5779.0,-0.025,0.98,,3.7618526944663833
Kepler-97,,5779.0,-0.037,0.98,,3.7618526944663833
HD 168009,G2V,5778.33,0.15,1.21,G,3.7618023407422614
Kepler-1156,,5778.0,-0.068,1.0,,3.7617775375081783
Kepler-1231,,5778.0,0.023,1.0,,3.7617775375081783
Kepler-719,,5777.0,0.448,0.98,,3.7617023675414125
Kepler-9,,5777.0,0.037,1.02,,3.7617023675414125
HD 24040,G0 V,5776.49,0.276,1.39,G,3.761664025847965
HD 204313,G5 V,5776.0,0.1,1.13,G,3.7616271845615827
Kepler-1629,,5776.0,-0.134,1.01,,3.7616271845615827
Kepler-163,,5776.0,-0.138,0.92,,3.7616271845615827
Kepler-1742,,5776.0,-0.184,0.85,,3.7616271845615827
Kepler-1844,,5776.0,0.226,0.85,,3.7616271845615827
Kepler-1294,,5776.0,0.421,0.97,,3.7616271845615827
K2-111,G2,5775.0,0.119,1.25,G,3.761551988564182
K2-111,G2,5775.0,0.279,1.25,G,3.761551988564182
Kepler-157,,5774.0,0.091,1.04,,3.7614767795447017
Kepler-1748,,5774.0,-0.35,0.86,,3.7614767795447017
Kepler-344,,5774.0,-0.185,0.98,,3.7614767795447017
Kepler-1448,,5774.0,-0.069,0.93,,3.7614767795447017
Kepler-387,,5774.0,0.137,1.05,,3.7614767795447017
Kepler-9,,5774.0,-0.038,0.96,,3.7614767795447017
HD 136925,,5773.19,0.134,1.19,,3.76141585068999
HD 160691,G3 IV-V,5773.0,0.278,1.33,G,3.761401557498631
Kepler-857,,5773.0,-0.071,0.99,,3.761401557498631
Kepler-581,,5772.0,-0.169,1.0,,3.7613263224214566
Kepler-1623,,5772.0,-0.172,1.0,,3.7613263224214566
WASP-157,G2 V,5772.0,0.079,1.1,G,3.7613263224214566
TOI-3807,,5772.0,0.332,1.47,,3.7613263224214566
Kepler-1894,,5772.0,-0.27,0.9,,3.7613263224214566
HD 155918,G2V,5771.84,0.016,1.02,G,3.7613142835995204
Kepler-1262,,5771.0,-0.105,0.98,,3.761251074308663
TOI-2570,,5771.0,0.059,1.09,,3.761251074308663
Kepler-1303,,5771.0,-0.002,1.0,,3.761251074308663
Kepler-1777,,5771.0,-0.033,1.07,,3.761251074308663
Kepler-129,G4 V,5770.0,0.464,1.65,G,3.7611758131557314
Kepler-511,,5770.0,0.498,1.2,,3.7611758131557314
Kepler-129,G4 V,5770.0,0.454,1.65,G,3.7611758131557314
Kepler-838,,5770.0,-0.099,0.96,,3.7611758131557314
Kepler-806,,5770.0,0.407,1.16,,3.7611758131557314
HD 87646,G,5770.0,0.96,1.55,G,3.7611758131557314
TOI-1136,,5770.0,-0.027,0.97,,3.7611758131557314
Kepler-1365,,5770.0,0.425,1.05,,3.7611758131557314
HD 6434,G2/3 V,5769.0,0.05,1.12,G,3.7611005389581424
Kepler-940,,5769.0,-0.057,0.96,,3.7611005389581424
Kepler-780,,5769.0,0.017,1.02,,3.7611005389581424
K2-351,,5769.0,0.024,1.05,,3.7611005389581424
Kepler-154,,5769.0,0.033,0.98,,3.7611005389581424
WASP-173 A,,5767.0,0.058,1.13,,3.7609499514108973
HD 204313,G5 V,5767.0,0.1,1.1,G,3.7609499514108973
HD 204313,G5 V,5767.0,0.1,1.13,G,3.7609499514108973
Kepler-1599,,5767.0,0.241,0.99,,3.7609499514108973
K2-7,,5766.33,0.405,1.6,,3.760899492904429
HD 202206,G6 V,5766.0,0.035,1.04,G,3.760874638052189
BD+20 594,G,5766.0,-0.056,1.08,G,3.760874638052189
HD 132406,G0 V,5766.0,0.26,1.34,G,3.760874638052189
Kepler-1563,,5765.0,-0.01,0.99,,3.7607993116307177
HD 1461,G0 V,5765.0,0.097,1.15,G,3.7607993116307177
EPIC 212624936,,5765.0,-0.124,0.93,,3.7607993116307177
HD 1461,G0 V,5765.0,0.095,1.15,G,3.7607993116307177
Kepler-1183,,5765.0,0.255,0.99,,3.7607993116307177
TOI-2796,,5764.0,0.055,1.07,,3.760723972141952
Kepler-206,,5764.0,0.084,1.19,,3.760723972141952
WASP-70 A,G4,5763.0,0.162,1.22,G,3.760648619581356
Kepler-1035,,5763.0,0.209,0.97,,3.760648619581356
Kepler-537,,5763.0,-0.039,0.99,,3.760648619581356
Kepler-1066,,5762.0,-0.19,0.98,,3.7605732539443943
Kepler-611,,5761.0,0.383,1.01,,3.760497875226527
Kepler-1369,,5761.0,-0.01,0.99,,3.760497875226527
TOI-2587 A,,5760.0,0.471,1.73,,3.760422483423212
Kepler-1562,,5760.0,0.491,1.05,,3.760422483423212
TOI-3023,,5760.0,0.444,1.67,,3.760422483423212
Kepler-1343,,5759.0,0.195,0.93,,3.7603470785299065
HD 98649,G3/G5 V,5759.0,-0.014,1.01,G,3.7603470785299065
Kepler-1079,,5758.0,0.263,1.36,,3.760271660542063
51 Peg,G5V,5758.0,0.136,1.18,G,3.760271660542063
HATS-51,,5758.0,0.31,1.44,,3.760271660542063
HD 11505,,5757.15,0.151,1.2,,3.760207544953419
TIC 4672985,,5757.0,0.114,1.15,,3.760196229455134
K2-218,,5757.0,-0.003,1.01,,3.760196229455134
HD 16141,G5 IV,5757.0,0.366,1.48,G,3.760196229455134
Kepler-452,G2,5757.0,0.084,1.11,G,3.760196229455134
Kepler-1739,,5757.0,-0.14,0.76,,3.760196229455134
Kepler-1681,,5756.4,-0.293,0.76,,3.760150964513522
TIC 393818343,G0,5756.0,0.067,1.09,G,3.7601207852645677
Kepler-1462,,5756.0,-0.314,1.0,,3.7601207852645677
Kepler-1196,,5756.0,-0.047,0.97,,3.7601207852645677
K2-204,,5755.0,0.253,1.25,,3.760045327965811
HD 81040,G2/G3,5755.0,-0.077,0.91,G,3.760045327965811
Kepler-1678,,5754.0,-0.162,0.83,,3.7599698575543075
Kepler-664,,5754.0,-0.111,1.02,,3.7599698575543075
Kepler-1047,,5754.0,0.424,1.13,,3.7599698575543075
Kepler-864,,5754.0,0.208,1.0,,3.7599698575543075
KELT-8,G2 V,5754.0,0.265,1.46,G,3.7599698575543075
Kepler-1144,,5753.0,0.056,0.96,,3.759894374025499
Kepler-616,,5753.0,-0.111,0.97,,3.759894374025499
Kepler-1390,,5753.0,-0.1,0.98,,3.759894374025499
K2-219,,5753.0,0.151,1.19,,3.759894374025499
Kepler-1286,,5753.0,0.128,0.98,,3.759894374025499
HD 107148,G5 V,5752.92,0.121,1.17,G,3.7598883347763907
Kepler-325,,5752.0,-0.255,1.0,,3.7598188773748262
TOI-1860,G V,5752.0,-0.095,0.94,G,3.7598188773748262
HD 44219,G3 V,5752.0,0.26,1.32,G,3.7598188773748262
TOI-1298,,5752.0,0.321,1.45,,3.7598188773748262
HD 195019,G3 IV-V,5751.0,0.333,1.48,G,3.759743367597725
Kepler-1990,,5751.0,0.117,1.07,,3.759743367597725
Kepler-238,,5751.0,0.43,1.43,,3.759743367597725
16 Cyg B,G3 V,5750.0,0.097,1.13,G,3.7596678446896306
Kepler-41,G2 V,5750.0,0.262,1.29,G,3.7596678446896306
WASP-25,,5750.0,-0.143,0.8,,3.7596678446896306
XO-1,G1 V,5750.0,-0.086,0.88,G,3.7596678446896306
Kepler-412,G3 V,5750.0,0.269,1.29,G,3.7596678446896306
Kepler-1887,,5749.0,-0.19,0.86,,3.759592308645975
TOI-5005,G2 V,5749.0,-0.005,0.93,G,3.759592308645975
Kepler-1958,,5749.0,-0.001,0.86,,3.759592308645975
K2-386,,5749.0,-0.019,0.97,,3.759592308645975
K2-170,,5748.0,0.072,0.98,,3.759516759462188
HD 12661,K0,5748.0,0.063,1.11,K,3.759516759462188
Kepler-1311,,5748.0,0.472,1.4,,3.759516759462188
HD 79498,G5,5748.0,0.03,1.05,G,3.759516759462188
Kepler-1525,,5748.0,-0.011,1.04,,3.759516759462188
Kepler-811,,5747.0,0.323,1.24,,3.7594411971336976
K2-87,,5747.0,-0.098,1.4,,3.7594411971336976
Kepler-1227,,5747.0,-0.158,0.95,,3.7594411971336976
Kepler-1381,,5747.0,-0.117,0.94,,3.7594411971336976
Qatar-5,G2 V,5747.0,0.056,1.08,G,3.7594411971336976
Kepler-510,,5746.0,0.332,1.41,,3.759365621655929
Kepler-573,,5746.0,0.029,1.02,,3.759365621655929
HD 188015,G5 IV,5746.0,0.059,1.13,G,3.759365621655929
Kepler-1704,,5746.0,0.452,1.7,,3.759365621655929
Kepler-318,,5746.0,0.004,1.19,,3.759365621655929
Kepler-1886,,5745.0,-0.161,0.84,,3.759290033024304
Kepler-1487,,5745.0,0.557,3.96,,3.759290033024304
Kepler-793,,5745.0,0.11,0.97,,3.759290033024304
HD 92788,G6 V,5744.0,0.02,1.14,G,3.759214431234244
HD 92788,G6 V,5744.0,0.098,1.14,G,3.759214431234244
Kepler-280,,5744.0,-0.064,0.89,,3.759214431234244
Kepler-498,,5744.0,0.172,0.96,,3.759214431234244
TOI-1723,,5743.0,0.074,1.09,,3.7591388162811663
HD 154672,G3 IV,5743.0,0.257,1.32,G,3.7591388162811663
Kepler-813,,5743.0,-0.071,0.93,,3.7591388162811663
Kepler-1216,,5743.0,0.073,0.98,,3.7591388162811663
HAT-P-42,,5743.0,0.296,1.41,,3.7591388162811663
HD 56957,,5743.0,0.491,1.78,,3.7591388162811663
Kepler-927,,5743.0,-0.086,0.99,,3.7591388162811663
K2-225,,5742.0,0.395,1.7,,3.759063188160487
K2-409,G4,5742.0,0.172,1.23,G,3.759063188160487
Kepler-648,,5741.0,-0.053,0.98,,3.758987546867619
Kepler-1871,,5741.0,0.003,0.95,,3.758987546867619
CoRoT-17,G2 V,5740.0,0.134,1.59,G,3.7589118923979736
Kepler-302,,5740.0,0.049,1.22,,3.7589118923979736
Kepler-321,,5740.0,-0.008,1.19,,3.7589118923979736
Kepler-556,,5740.0,-0.048,0.98,,3.7589118923979736
WASP-123,G5,5740.0,0.162,1.29,G,3.7589118923979736
Kepler-215,,5739.0,-0.117,1.03,,3.7588362247469584
HATS-16,G3 V,5738.0,0.173,1.24,G,3.75876054390998
Qatar-8,G0 V,5738.0,0.228,1.32,G,3.75876054390998
Kepler-1801,,5738.0,-0.223,0.98,,3.75876054390998
HD 27631,G3 IV/V,5737.0,-0.056,0.92,G,3.758684849882441
HD 70573,G1-1.5 V,5737.0,-0.001,0.98,G,3.758684849882441
HD 134987,G5 V,5736.0,0.255,1.22,G,3.758609142659744
HD 181720,G1 V,5736.0,0.288,1.5,G,3.758609142659744
Kepler-133,,5736.0,0.41,1.43,,3.758609142659744
Kepler-1664,,5735.81,0.05,1.07,,3.758594756795339
Kepler-1399,,5735.0,0.01,0.96,,3.7585334222372864
Kepler-565,,5735.0,-0.055,0.95,,3.7585334222372864
TOI-1386,G5V,5735.0,0.01,1.02,G,3.7585334222372864
TOI-481,G,5735.0,0.435,1.66,G,3.7585334222372864
Kepler-809,,5734.0,0.001,0.98,,3.7584576886104655
Kepler-1912,,5734.0,-0.049,0.96,,3.7584576886104655
TOI-1820,,5734.0,0.294,1.51,,3.7584576886104655
PH2,,5734.0,-0.058,0.95,,3.7584576886104655
HD 48265,G5 IV/V,5733.0,0.584,1.9,G,3.758381941774675
HD 96167,G5,5733.0,0.57,1.94,G,3.758381941774675
Kepler-1386,,5733.0,0.009,1.03,,3.758381941774675
K2-277,,5733.0,-0.063,0.97,,3.758381941774675
HD 70642,G6 V,5732.0,0.012,0.98,G,3.758306181725307
Kepler-1385,,5732.0,0.45,1.29,,3.758306181725307
HD 110113,G,5732.0,-0.032,0.97,G,3.758306181725307
Kepler-177,,5732.0,0.24,1.32,,3.758306181725307
Kepler-831,,5732.0,0.012,0.97,,3.758306181725307
HATS-38,,5732.0,0.072,1.1,,3.758306181725307
HD 117207,G7 IV-V,5732.0,0.066,1.07,G,3.758306181725307
Kepler-1689,,5731.43,-0.016,1.0,,3.758262992582984
Kepler-180,,5731.0,-0.132,1.06,,3.7582304084577496
Kepler-1718,,5731.0,-0.04,0.91,,3.7582304084577496
TOI-2447,,5730.0,0.049,1.01,,3.75815462196739
Kepler-952,,5730.0,0.097,0.99,,3.75815462196739
Kepler-1484,,5730.0,0.796,0.92,,3.75815462196739
Kepler-1779,,5730.0,-0.05,1.06,,3.75815462196739
HD 213472,,5729.54,0.285,1.43,,3.7581197557403367
Kepler-1491,,5728.0,0.355,0.99,,3.758003009299799
Kepler-313,,5727.0,0.312,1.54,,3.7579271831133294
HD 32963,G5 IV,5727.0,0.064,1.11,G,3.7579271831133294
Kepler-1306,,5727.0,-0.063,0.97,,3.7579271831133294
HD 42618,G4 V,5727.0,-0.009,1.0,G,3.7579271831133294
Kepler-1924,,5726.0,0.452,1.29,,3.75785134368558
Kepler-1963,,5726.0,-0.259,0.98,,3.75785134368558
HD 189567,G3 V,5726.0,0.324,1.04,G,3.75785134368558
K2-392,G3,5726.0,0.048,1.06,G,3.75785134368558
HD 207832,G5 V,5726.0,-0.11,0.89,G,3.75785134368558
K2-292,G3 V,5725.0,0.093,1.09,G,3.7577754910119254
Kepler-426,G1 V,5725.0,-0.089,0.92,G,3.7577754910119254
NGC 2682 YBP 1514,G5 V,5725.0,-0.018,0.89,G,3.7577754910119254
TOI-3912,,5725.0,0.273,1.39,,3.7577754910119254
EPIC 206024342,,5724.0,-0.17,0.82,,3.7576996250877386
EPIC 206024342,,5724.0,-0.17,1.1,,3.7576996250877386
Kepler-1102,,5724.0,0.139,0.94,,3.7576996250877386
TOI-1338 A,F8,5723.2,0.329,1.31,F,3.7576389228048943
Kepler-1055,,5723.0,-0.148,0.94,,3.757623745908389
Kepler-613,,5723.0,-0.057,0.96,,3.757623745908389
Kepler-281,,5723.0,0.146,0.9,,3.757623745908389
Kepler-677,,5723.0,0.39,0.99,,3.757623745908389
Kepler-1447,,5722.0,-0.042,0.95,,3.757547853469244
HD 95544,G0,5722.0,0.478,1.09,G,3.757547853469244
Kepler-1069,,5722.0,0.372,0.98,,3.757547853469244
Kepler-1911,,5721.0,-0.078,0.97,,3.757471947765668
TOI-2818,,5721.0,0.164,1.23,,3.757471947765668
Kepler-1312,,5721.0,-0.099,0.91,,3.757471947765668
Gaia-2,,5720.0,0.057,1.06,,3.7573960287930244
KELT-14,G4,5720.0,0.279,1.52,G,3.7573960287930244
Kepler-1928,,5720.0,-0.092,0.92,,3.7573960287930244
Kepler-1312,,5719.0,-0.099,0.92,,3.7573200965466724
Kepler-416,,5718.0,0.028,1.07,,3.75724415102197
HD 110537,G6/8 V,5718.0,0.117,1.17,G,3.75724415102197
Kepler-1425,,5718.0,0.398,0.95,,3.75724415102197
Kepler-945,,5718.0,0.024,0.97,,3.75724415102197
TOI-1294,,5718.0,0.368,1.56,,3.75724415102197
Kepler-981,,5718.0,-0.081,0.96,,3.75724415102197
HD 4208,G7 V Fe-1 CH-0.5,5717.0,-0.1,0.85,G,3.7571681922142726
Kepler-281,,5717.0,0.146,0.88,,3.7571681922142726
Kepler-1250,,5717.0,0.343,0.98,,3.7571681922142726
HD 66428,G8 IV (+ G),5716.0,0.096,1.13,G,3.7570922201189325
K2-221,,5716.0,-0.064,0.95,,3.7570922201189325
K2-402,G2,5716.0,0.209,1.28,G,3.7570922201189325
Kepler-884,,5715.0,-0.313,0.94,,3.7570162347313008
Kepler-1287,,5715.0,-0.091,0.94,,3.7570162347313008
Kepler-688,,5715.0,-0.024,0.96,,3.7570162347313008
HATS-25,G,5715.0,0.068,1.11,G,3.7570162347313008
Kepler-1686,,5714.96,0.141,1.2,,3.75701319503925
Kepler-772,,5714.0,0.475,1.11,,3.756940236046724
K2-195,,5713.0,-0.012,0.99,,3.756864224060549
Kepler-641,,5713.0,0.39,1.13,,3.756864224060549
Kepler-1177,,5712.0,0.342,0.97,,3.7567881987681178
K2-195,,5712.0,-0.053,0.91,,3.7567881987681178
Kepler-1696,,5712.0,0.139,1.2,,3.7567881987681178
Kepler-1976,,5712.0,0.041,1.08,,3.7567881987681178
K2-411,,5711.0,0.258,1.38,,3.7567121601647715
Kepler-104,,5711.0,0.089,1.35,,3.7567121601647715
Kepler-1638,,5710.0,-0.114,0.95,,3.756636108245848
Kepler-575,,5710.0,-0.084,0.95,,3.756636108245848
Kepler-1488,,5710.0,0.587,1.52,,3.756636108245848
TOI-1199,,5710.0,0.304,1.45,,3.756636108245848
TOI-954,,5710.0,0.535,1.89,,3.756636108245848
HD 207832,G5 V,5710.0,-0.112,0.9,G,3.756636108245848
Kepler-670,,5709.0,-0.1,0.99,,3.756560043006683
Kepler-10,,5708.0,0.053,1.06,,3.7564839644426096
Kepler-1523,,5708.0,-0.099,0.96,,3.7564839644426096
Kepler-10,,5708.0,0.055,1.06,,3.7564839644426096
TOI-2420,,5707.0,0.687,2.37,,3.7564078725489582
Kepler-1522,,5706.0,0.092,0.93,,3.7563317673210577
TOI-3364,,5706.0,0.286,1.42,,3.7563317673210577
Kepler-1711,,5706.0,0.01,1.03,,3.7563317673210577
Kepler-1596,,5706.0,0.431,0.92,,3.7563317673210577
Kepler-761,,5706.0,-0.117,0.93,,3.7563317673210577
Kepler-1548,,5706.0,-0.307,0.97,,3.7563317673210577
K2-38,G2 V,5705.0,0.037,1.14,G,3.7562556487542333
Kepler-1740,,5705.0,-0.079,0.91,,3.7562556487542333
Kepler-1211,,5705.0,0.134,0.94,,3.7562556487542333
K2-215,,5704.0,-0.026,0.97,,3.756179516843809
Kepler-1322,,5704.0,-0.101,0.8,,3.756179516843809
Kepler-683,,5703.0,-0.041,0.95,,3.7561033715851058
WASP-147,G4,5702.0,0.287,1.43,G,3.756027212973441
Kepler-1898,,5702.0,-0.235,1.12,,3.756027212973441
Kepler-1305,,5701.0,0.084,0.96,,3.755951041004132
HD 222155,G2 V,5701.0,0.509,1.85,G,3.755951041004132
WASP-5,G5,5700.0,0.067,1.03,G,3.7558748556724915
Kepler-694,,5700.0,-0.078,0.95,,3.7558748556724915
NGTS-27,,5700.0,0.514,1.77,,3.7558748556724915
TOI-5542,G3 V,5700.0,1.057,1.06,G,3.7558748556724915
WASP-16,,5700.0,0.01,1.14,,3.7558748556724915
HATS-32,,5700.0,0.057,1.1,,3.7558748556724915
WASP-34,,5700.0,0.039,0.91,,3.7558748556724915
WASP-133,G4,5700.0,0.305,1.44,G,3.7558748556724915
CoRoT-31,G2 IV,5700.0,0.398,2.15,G,3.7558748556724915
TOI-4638,,5700.0,-0.119,0.89,,3.7558748556724915
Kepler-1962,,5700.0,-0.122,1.01,,3.7558748556724915
Kepler-95,,5699.0,0.281,1.41,,3.7557986569738304
HD 37124,G4 V,5698.64,-0.112,0.95,G,3.755771222169163
Kepler-1440,,5698.0,0.377,0.96,,3.755722444903458
HD 135694,,5698.0,0.045,1.07,,3.755722444903458
Kepler-829,,5698.0,0.04,0.97,,3.755722444903458
K2-353,,5698.0,-0.076,0.99,,3.755722444903458
K2-13,G3,5698.0,-0.135,0.78,G,3.755722444903458
TOI-1799,,5698.0,-0.063,0.95,,3.755722444903458
HD 75302,G5 V,5697.46,-0.075,0.94,G,3.7556812848238468
Kepler-1393,,5697.0,0.151,0.92,,3.75564621945668
Kepler-530,,5697.0,-0.132,0.89,,3.75564621945668
Kepler-1901,,5696.0,-0.003,0.92,,3.7555699806288
Kepler-213,,5696.0,0.082,1.2,,3.7555699806288
K2-231,,5695.0,-0.112,0.95,,3.7554937284151193
Kepler-848,,5695.0,0.594,1.2,,3.7554937284151193
K2-287,,5695.0,-0.108,1.07,,3.7554937284151193
TOI-2180,G5,5695.0,0.406,1.64,G,3.7554937284151193
Kepler-767,,5694.0,0.476,0.94,,3.7554174628109362
Kepler-1040,,5694.0,-0.044,0.96,,3.7554174628109362
HD 109286,G4 V,5694.0,-0.084,1.09,G,3.7554174628109362
Kepler-276,,5693.0,-0.089,1.03,,3.755341183811548
HAT-P-43,F9,5693.0,0.06,1.08,F,3.755341183811548
Kepler-1867,,5693.0,0.219,0.82,,3.755341183811548
Kepler-612,,5693.0,0.305,0.96,,3.755341183811548
Kepler-1765,,5692.0,-0.136,1.06,,3.7552648914122466
Kepler-708,,5692.0,0.037,0.96,,3.7552648914122466
Kepler-700,,5692.0,0.23,0.96,,3.7552648914122466
Kepler-1882,,5691.0,0.237,1.46,,3.755188585608325
TOI-2977,,5691.0,0.037,1.07,,3.755188585608325
Kepler-96,,5690.0,-0.052,1.02,,3.7551122663950713
NGTS-12,G,5690.0,0.338,1.59,G,3.7551122663950713
WASP-8,G8 V,5690.0,-0.058,0.99,G,3.7551122663950713
Kepler-517,,5690.0,-0.019,0.98,,3.7551122663950713
TOI-1273,,5690.0,0.029,1.06,,3.7551122663950713
Kepler-154,,5690.0,0.033,1.0,,3.7551122663950713
HATS-60,,5688.0,0.3,1.46,,3.75495958772171
HD 72892,G5 V,5688.0,0.146,1.22,G,3.75495958772171
Kepler-1118,,5688.0,-0.06,0.97,,3.75495958772171
HD 4113,G5,5688.0,0.086,1.08,G,3.75495958772171
HD 63433,,5688.0,-0.112,0.92,,3.75495958772171
Kepler-454,,5687.0,0.053,1.07,,3.7548832282521674
Kepler-1719,,5687.0,0.526,1.78,,3.7548832282521674
Kepler-454,,5687.0,0.032,1.07,,3.7548832282521674
HD 4308,G5V,5686.0,-0.004,1.02,G,3.754806855354423
Kepler-1505,,5686.0,0.149,0.86,,3.754806855354423
Kepler-1142,,5685.0,0.437,0.96,,3.7547304690237535
Kepler-131,,5685.0,0.022,1.03,,3.7547304690237535
TOI-1710,G5 V,5684.0,-0.063,0.96,G,3.754654069255432
Kepler-337,,5684.0,0.481,1.76,,3.754654069255432
HD 220197,G5,5683.0,-0.003,0.98,G,3.7545776560447304
Kepler-1125,,5683.0,0.647,0.94,,3.7545776560447304
Kepler-597,,5683.0,-0.033,0.95,,3.7545776560447304
K2-369,,5682.0,-0.121,0.88,,3.754501229386917
Kepler-1240,,5682.0,0.223,0.96,,3.754501229386917
Kepler-903,,5682.0,0.365,0.97,,3.754501229386917
Kepler-799,,5681.0,-0.09,0.93,,3.7544247892772584
HAT-P-28,G3,5680.0,0.053,1.1,G,3.754348335711019
Kepler-797,,5680.0,0.47,0.95,,3.754348335711019
Kepler-1463,,5679.0,0.092,0.95,,3.754271868683459
Kepler-1631,,5679.0,0.007,0.95,,3.754271868683459
HATS-8,,5679.0,-0.025,1.09,,3.754271868683459
Kepler-170,,5679.0,-0.055,1.04,,3.754271868683459
Kepler-948,,5679.0,-0.109,0.94,,3.754271868683459
K2-393,,5678.0,0.043,1.07,,3.7541953881898382
Kepler-1530,,5678.0,-0.311,1.3,,3.7541953881898382
HAT-P-59,,5678.0,0.054,1.1,,3.7541953881898382
Kepler-1126,,5678.0,-0.099,0.92,,3.7541953881898382
Kepler-200,,5678.0,0.008,0.94,,3.7541953881898382
Kepler-863,,5678.0,0.215,0.95,,3.7541953881898382
Kepler-1625,,5677.0,0.437,0.94,,3.754118894225413
K2-244,,5677.0,-0.118,0.92,,3.754118894225413
